id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_median,status,levels,dormitory_type,condition_type,date-age,dif
7936500221,2015-01-14,658000.0,2,1.0,1010,14244,1.0,1,4,1,5,1010.0,0,1926,0,98136,47.5476,-122.399,1820,15792,489950.0,não compra,Level 3,apart_or_house,bad,old_house,-34.3
1925069121,2015-03-30,960000.0,3,2.5,1730,4102,3.0,1,4,3,8,1730.0,0,1996,0,98074,47.645,-122.084,2340,16994,642000.0,não compra,Level 3,apart_or_house,regular,old_house,-49.53
2013802030,2014-09-11,357000.0,3,2.0,2460,53882,1.0,1,4,3,7,2460.0,0,1955,0,98198,47.3811,-122.325,2660,32625,265000.0,não compra,Level 1,apart_or_house,regular,old_house,-34.72
2013802060,2014-09-27,500000.0,2,1.0,1760,27332,1.0,1,4,4,7,1300.0,460,1951,0,98198,47.3799,-122.325,2590,16630,265000.0,não compra,Level 2,apart_or_house,regular,old_house,-88.68
9536600010,2014-12-23,520000.0,4,0.75,1960,8277,1.0,1,4,4,7,1320.0,640,1923,1986,98198,47.3648,-122.325,1940,8402,265000.0,não compra,Level 2,house,regular,old_house,-96.23
6329000185,2015-03-29,540000.0,3,2.5,2600,23361,1.5,1,4,3,8,2150.0,450,1912,0,98146,47.4997,-122.379,1700,14700,305000.0,não compra,Level 2,apart_or_house,regular,old_house,-77.05
3623500260,2014-05-12,1200000.0,3,1.75,1560,8078,1.5,1,4,4,6,1560.0,0,1928,0,98040,47.5779,-122.246,2890,16710,993750.0,não compra,Level 3,apart_or_house,regular,old_house,-20.75
3024059014,2015-03-25,1900000.0,4,2.25,3020,11489,1.5,1,3,5,10,2110.0,910,1916,1988,98040,47.5395,-122.21,3890,11489,993750.0,não compra,Level 3,house,good,old_house,-91.19
3124059023,2015-02-13,1955000.0,3,1.75,3330,12566,1.0,1,4,4,8,1940.0,1390,1960,0,98040,47.5287,-122.22,3730,16560,993750.0,não compra,Level 3,apart_or_house,regular,old_house,-96.73
8917100020,2014-06-06,1150000.0,3,1.5,2170,16600,1.0,1,2,3,10,1130.0,1040,1979,0,98052,47.6307,-122.088,3130,13875,615000.0,não compra,Level 3,apart_or_house,regular,old_house,-86.99
8096000060,2015-04-13,655000.0,2,1.75,1450,15798,2.0,1,4,3,7,1230.0,220,1915,1978,98166,47.4497,-122.375,2030,13193,390000.0,não compra,Level 3,apart_or_house,regular,old_house,-67.95
2623039082,2015-02-18,770000.0,3,3.5,2050,21744,2.0,1,4,4,9,1750.0,300,1930,0,98166,47.4536,-122.376,2300,12200,390000.0,não compra,Level 3,apart_or_house,regular,old_house,-97.44
2623039018,2014-10-27,685000.0,4,1.0,1550,15239,1.5,1,4,3,6,1370.0,180,1930,0,98166,47.4502,-122.378,1790,22047,390000.0,não compra,Level 3,house,regular,old_house,-75.64
6102400166,2014-09-05,649000.0,3,2.0,1810,17006,2.0,1,4,3,8,1810.0,0,1913,1987,98166,47.4663,-122.369,2180,24911,390000.0,não compra,Level 2,apart_or_house,regular,old_house,-66.41
1121039059,2014-05-22,503000.0,2,1.75,2860,59612,1.0,1,4,3,8,1510.0,1350,1948,2003,98023,47.3276,-122.389,2720,59612,268450.0,não compra,Level 2,apart_or_house,regular,old_house,-87.37
121039042,2015-03-13,425000.0,3,2.75,3610,107386,1.5,1,3,3,8,3130.0,480,1918,1962,98023,47.3351,-122.362,2630,42126,268450.0,não compra,Level 1,apart_or_house,regular,old_house,-58.32
2122039094,2014-11-26,705000.0,3,3.0,1970,20978,2.0,1,3,4,9,1770.0,200,1980,0,98070,47.3844,-122.438,2280,75396,463750.0,não compra,Level 3,apart_or_house,regular,old_house,-52.02
8888000055,2014-12-30,530000.0,3,0.75,920,20412,1.0,1,2,5,6,920.0,0,1950,0,98070,47.4781,-122.49,1162,54705,463750.0,não compra,Level 2,apart_or_house,good,old_house,-14.29
1922039062,2015-04-20,480000.0,2,1.5,1008,26487,1.0,1,4,4,6,1008.0,0,1943,2002,98070,47.3853,-122.479,1132,24079,463750.0,não compra,Level 2,apart_or_house,regular,old_house,-3.5
